hand,glove,foot,shoe
hands,glove,feet,shoe
hands,gloves,feet,shoes
mother,child,tree,leaf
mother,children,tree,leaf
mother,children,tree,leafs
mother,children,tree,leaves
mother,child,tree,fruit
mother,children,tree,fruit
mother,children,tree,fruits
child,mother,leaf,tree
child,mother,fruit,tree
hand,finger,foot,toe
head,hair,eye,tears
head,hair,eyes,tears
east,rise,west,set
east,rise,west,fall
drink,water,eat,food
drinking,water,eating,food
eating,feeding,dying,killing
eating,feeding,killing,dying
windy,wind,sunny,sun
wind,windy,sun,sunny
cloud,cloudy,sun,sunny
cloudy,cloud,sunny,sun
healthy,health,sunny,sun
healthy,health,proud,pride
healthy,health,strong,strength
proud,pride,strong,strength
strong,strengthen,red,redden
strong,strengthen,weak,weaken
die,death,think,thought
teacher,teach,baker,bake
teach,teacher,bake,baker
